Ticker;Score;Name;Price ($);ROE (%);P/E;NetDebt/EBITDA;Current Ratio;Revenue Growth;Free Cash Flow
DVN;6;DVN;37,745;18,59;8,9;0,97;0,957;7,1;2007000064
CF;6;CF;79,94;21,97;9,7;0,51;2,273;21,1;1361750016
UHS;6;UHS;218,88;20,03;10,4;1,96;1,031;13,4;839419520
UBER;6;UBER;82,695;72,99;10,6;0,8;1,154;20,4;6787375104
HIG;6;HIG;136,4737;20,07;11,2;0;1,785;7;5675749888
TROW;6;TROW;103,79;18,67;11,3;-1,12;3,81;6;923412480
PYPL;6;PYPL;58,08;24,36;11,7;0,21;1,34;7,3;3125625088
CI;6;CI;279,715;15,54;12,4;2,33;0,828;9,5;8630625280
COP;6;COP;96,495;15,42;13,6;0,68;1,323;14;6092499968
AFL;6;AFL;109,9;15,58;14,4;0,97;1,089;60,7;6489999872
LULU;6;LULU;210,68;41,02;14,7;0,25;2,13;7,1;884945152
NEM;6;NEM;99,75;22,88;15,5;-0,03;2,039;20;9337749504
ABT;6;ABT;124;30,62;15,6;0,45;1,703;6,9;6067874816
DECK;6;DECK;105,915;43,31;15,7;-0,81;3,067;9,1;784447232
FDX;6;FDX;291,725;15,89;16,1;0;1,274;13,9;4643375104
LDOS;6;LDOS;182,7651;29,29;17;1,82;1,624;6,7;751374976
INCY;6;INCY;100,29;30,39;17;-2,18;3,195;20;531249760
GEHC;6;GEHC;82,73;24,45;17,1;1,86;1,181;5,8;1485250048
UNH;6;UNH;335,7601;17,48;17,5;1,69;0,823;12,2;17768749056
FDS;6;FDS;285,335;28,83;18,1;1,38;1,544;6,8;541443264
PAYC;6;PAYC;153,94;28,56;19,1;-0,55;1,223;9,2;370201504
EBAY;6;EBAY;88,19;42,43;19,6;1,37;0,925;9,5;1598749952
JNJ;6;JNJ;206,58;33,62;20;0,85;1,074;6,8;12008999936
CPAY;6;CPAY;300,28;29,1;20,4;2,78;1,134;13,9;1306636800
HON;6;HON;195,5599;34,62;20,6;2,54;1,358;7;5684125184
FSLR;6;FSLR;274,78;16,86;21,1;-0,57;1,91;79,7;168763744
PKG;6;PKG;209,71;19,81;21,2;1,95;3,158;6;370837504
ACN;6;ACN;262,38;25,02;21,7;-0,12;1,411;6;11122880512
FFIV;6;FFIV;256,99;20,6;21,8;-1,22;1,562;8,5;761381632
ALLE;6;ALLE;161,26;36,41;21,8;2,04;1,771;10,7;512487488
MMC;6;MMC;183,3563;28,73;22;2,45;1,123;11,5;4722874880
GD;6;GD;341,165;17,78;22,1;1,18;1,4;10,6;3506500096
ERIE;6;ERIE;280,08;30,44;22,6;-0,67;1,669;6,7;409099616
KO;6;KO;69,17;42,44;22,9;1,99;1,211;5,1;1412875008
ULTA;6;ULTA;620,0115;47,97;23,8;1,27;1,328;12,9;975341888
MPWR;6;MPWR;932,2175;64,03;23,9;-1,69;4,771;18,9;490344384
TSCO;6;TSCO;50,74;45,46;24,5;2,8;1,301;7,2;812693632
PAYX;6;PAYX;109,285;40,88;24,7;1,23;1,265;18,3;2057250048
GRMN;6;GRMN;200,68;19,66;24,7;-1,19;3,316;11,7;908814848
RMD;6;RMD;243,525;25,41;24,9;-0,28;2,888;9,1;1379738112
ADP;6;ADP;253,51;70,57;25;0,36;1,054;7,1;4415287296
AMGN;6;AMGN;326,885;81,71;25,3;2,74;1,28;12,4;11408624640
EME;6;EME;637,52;37,09;25,7;-0,13;1,192;16,4;860133760
CHD;6;CHD;82,92;18,59;26,2;1,58;1,086;5;1012412480
RL;6;RL;357,975;34,01;26,4;0,94;2,04;16,5;512962496
CBOE;6;CBOE;249,45;21,62;26,8;0,07;1,718;8,1;987800000
VLTO;6;VLTO;98,63;37,98;27;0,81;1,568;6,8;856750016
JKHY;6;JKHY;178,49;23,45;27,1;0,05;1,494;7,3;303682112
